row_type,user_id,age,gender,location,nationality,created_at,session_id,initial_offer,final_offer,final_price,outcome,session_status,dropoff_stage,started_at,ended_at,session_duration_seconds,turn_count,turn_number,speaker,message,offer_amount,concession_amount,offer_made,is_counter_offer,response_time_seconds,message_length,sentiment,strategy_tag,timestamp
sessions,23f99806-66cf-46af-9ee6-cebdf261837c,,,,,,47e1af81-d37a-4be7-b771-37458ab25443,90000.0,799999.0,,Declined,in_progress,,2026-04-06T05:08:01.226470+00:00,2026-04-06T05:14:35.017765+00:00,393.791295,5,,,,,,,,,,,,
sessions,58f7b9ba-8846-4a36-8447-b8897419045a,,,,,,af5abfef-f076-4a90-9d89-9e21068bb212,900000.0,950000.0,,Declined,in_progress,,2026-04-06T09:32:24.090981+00:00,2026-04-06T09:32:24.562636+00:00,0.471655,5,,,,,,,,,,,,
sessions,41f474e2-a0d9-43ef-b937-0145edbc4bc0,,,,,,619e7101-e92e-4f7a-af06-403f159f1121,90000.0,,,,in_progress,,2026-04-06T09:43:52.898673+00:00,,,4,,,,,,,,,,,,
sessions,a61d826f-0a40-42c5-b2e3-4b7afad205af,,,,,,cf5a9f14-0efe-474f-8f4e-b912553c9413,90000.0,1030000.0,1030000.0,Accepted,in_progress,,2026-04-06T09:50:04.775814+00:00,2026-04-06T10:01:52.180013+00:00,707.404199,5,,,,,,,,,,,,
sessions,cc6a84ce-d947-4951-8f8f-8d2d0d15660f,,,,,,c02b6dfd-9748-4dc8-8e7b-d06500347e06,900000.0,912500.0,912500.0,Accepted,completed,after_offer,2026-04-06T10:29:37.885336+00:00,2026-04-06T10:29:38.861778+00:00,0.976442,5,,,,,,,,,,,,
sessions,495a7023-77ce-43dc-ac1a-c0682954e220,,,,,,f19381c7-687a-4ec3-a0c9-1730989bd97d,900000.0,910000.0,910000.0,Accepted,completed,after_offer,2026-04-06T10:40:05.469655+00:00,2026-04-06T10:40:06.140242+00:00,0.670587,5,,,,,,,,,,,,
sessions,77b1cb56-a864-4c9f-bc2e-8f810fdbe915,,,,,,6472387d-4258-4af3-9c58-e2485603b7f1,910000.0,917500.0,,Declined,completed,after_offer,2026-04-06T10:43:01.579980+00:00,2026-04-06T10:43:02.230145+00:00,0.650165,5,,,,,,,,,,,,
sessions,e4ac2067-bfa5-4be9-8608-792891703a73,,,,,,20a819f4-0bf0-4ecc-be07-3c08a781427e,80000.0,70090988.0,70090988.0,Accepted,completed,after_offer,2026-04-06T10:46:09.658208+00:00,2026-04-06T10:51:31.011525+00:00,321.353317,5,,,,,,,,,,,,
sessions,11863f2e-23c3-4bc9-97a2-75375317daa9,,,,,,e885e5b7-5f26-42e6-9292-9869f8652781,90000.0,898767656.0,898767656.0,Accepted,completed,after_offer,2026-04-06T11:07:27.752616+00:00,2026-04-06T11:09:16.330861+00:00,108.578245,5,,,,,,,,,,,,
sessions,65bbd56a-2ea2-476d-af56-6b20347559ee,,,,,,615554b8-f8a0-4b2a-ac4c-a0fe21441188,900000.0,905555.0,905555.0,Accepted,completed,after_offer,2026-04-06T14:14:49.650926+00:00,2026-04-06T14:14:50.247975+00:00,0.597049,5,,,,,,,,,,,,
sessions,e3e58392-956c-4673-9ea5-ae7b5fdfaccf,,,,,,b10e751b-e44c-4c80-9a48-b0227ab10e91,800000.0,800000.0,,Abandoned,abandoned,before_offer,2026-04-06T14:17:05.662524+00:00,2026-04-06T14:17:05.687121+00:00,0.024597,0,,,,,,,,,,,,
sessions,bcd70dad-26eb-46f8-9865-690d9a0e23dc,,,,,,0b6938a1-43d6-4040-b4a2-2af2046ed89f,810000.0,810000.0,,Abandoned,abandoned,before_offer,2026-04-06T14:17:58.490380+00:00,2026-04-06T14:17:58.511275+00:00,0.020895,0,,,,,,,,,,,,
sessions,28484294-8e5a-43f4-a833-3883ab3bc8de,,,,,,f0227650-06a9-4c43-b878-9884ab08c80a,820000.0,820000.0,,Abandoned,abandoned,before_offer,2026-04-06T14:18:21.101991+00:00,2026-04-06T14:18:21.131800+00:00,0.029809,0,,,,,,,,,,,,
sessions,a87cd0ff-28b2-49f9-a70b-4980f1386fdc,,,,,,32c59e9e-5366-45ac-808d-116b9c678198,90000.0,78908.0,,Declined,completed,after_offer,2026-04-07T15:59:41.681807+00:00,2026-04-07T16:01:47.240216+00:00,125.558409,5,,,,,,,,,,,,
turns,bf23bb1d-ad71-4f5c-a7b0-ddc48bc28752,,,,,,a5914b4e-9bdb-49ff-b112-e2c36b310167,,,,,,,,,,,1,Human,I can do 900000,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,bf23bb1d-ad71-4f5c-a7b0-ddc48bc28752,,,,,,a5914b4e-9bdb-49ff-b112-e2c36b310167,,,,,,,,,,,1,AI,"I can move to $1,120,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,4221ee81-31b5-40b8-b69d-87242af5fffe,,,,,,682123a8-1523-4446-b748-0dc4f9b558f2,,,,,,,,,,,1,Human,I can do 900k,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,4221ee81-31b5-40b8-b69d-87242af5fffe,,,,,,682123a8-1523-4446-b748-0dc4f9b558f2,,,,,,,,,,,1,AI,"I can move to $1,120,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,1589138d-7418-486e-8d10-a8fc1ad5aef6,,,,,,009a1d59-2ea5-4c7b-b86c-cb1c1516c9e6,,,,,,,,,,,1,Human,hello offer 900k,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,1589138d-7418-486e-8d10-a8fc1ad5aef6,,,,,,009a1d59-2ea5-4c7b-b86c-cb1c1516c9e6,,,,,,,,,,,1,AI,"I can move to $1,120,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,b163bb4f-f0c2-4284-9516-439a9ded9921,,,,,,79002708-ea61-4e9c-a021-e23c31a608a6,,,,,,,,,,,1,Human,turn 1,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,b163bb4f-f0c2-4284-9516-439a9ded9921,,,,,,79002708-ea61-4e9c-a021-e23c31a608a6,,,,,,,,,,,1,AI,"I can move to $1,120,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,b163bb4f-f0c2-4284-9516-439a9ded9921,,,,,,79002708-ea61-4e9c-a021-e23c31a608a6,,,,,,,,,,,2,Human,turn 2,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,b163bb4f-f0c2-4284-9516-439a9ded9921,,,,,,79002708-ea61-4e9c-a021-e23c31a608a6,,,,,,,,,,,2,AI,"I can move to $1,090,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,b163bb4f-f0c2-4284-9516-439a9ded9921,,,,,,79002708-ea61-4e9c-a021-e23c31a608a6,,,,,,,,,,,3,Human,turn 3,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,b163bb4f-f0c2-4284-9516-439a9ded9921,,,,,,79002708-ea61-4e9c-a021-e23c31a608a6,,,,,,,,,,,3,AI,"I can move to $1,060,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,b163bb4f-f0c2-4284-9516-439a9ded9921,,,,,,79002708-ea61-4e9c-a021-e23c31a608a6,,,,,,,,,,,4,Human,turn 4,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,b163bb4f-f0c2-4284-9516-439a9ded9921,,,,,,79002708-ea61-4e9c-a021-e23c31a608a6,,,,,,,,,,,4,AI,"I can move to $1,030,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,b163bb4f-f0c2-4284-9516-439a9ded9921,,,,,,79002708-ea61-4e9c-a021-e23c31a608a6,,,,,,,,,,,5,Human,turn 5,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,b163bb4f-f0c2-4284-9516-439a9ded9921,,,,,,79002708-ea61-4e9c-a021-e23c31a608a6,,,,,,,,,,,5,AI,"I can move to $1,000,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,c3b73e52-51ad-4c74-a85b-3cfa43351b86,,,,,,052a932b-98bd-4822-ae77-9ee5924dc57a,,,,,,,,,,,1,Human,turn 1,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,c3b73e52-51ad-4c74-a85b-3cfa43351b86,,,,,,052a932b-98bd-4822-ae77-9ee5924dc57a,,,,,,,,,,,1,AI,"I can move to $1,120,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,c3b73e52-51ad-4c74-a85b-3cfa43351b86,,,,,,052a932b-98bd-4822-ae77-9ee5924dc57a,,,,,,,,,,,2,Human,turn 2,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,c3b73e52-51ad-4c74-a85b-3cfa43351b86,,,,,,052a932b-98bd-4822-ae77-9ee5924dc57a,,,,,,,,,,,2,AI,"I can move to $1,090,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
